
### Skeleton (220)
FJ1544M  FMA22780   muscle     Left spinalis thoracis
FJ1545M  FMA22729   muscle     Left splenius capitis
FJ1546M  FMA22727   muscle     Left splenius cervicis
FJ1573   FMA13409   muscle     Left sternocleidomastoid
FJ1574   FMA13347   muscle     Left sternohyoid
FJ1575   FMA13351   muscle     Left sternothyroid
FJ1576   FMA45827   muscle     Left stylohyoid
FJ2746   FMA46668   muscle     Left stylopharyngeus
FJ1460M  FMA13411   muscle     Left subclavius
FJ1504M  FMA13415   muscle     Left subscapularis
FJ1322   FMA49053   muscle     Left superior oblique
FJ2747   FMA46632   muscle     Left superior pharyngeal constrictor
FJ1323   FMA49045   muscle     Left superior rectus
FJ1505M  FMA38514   muscle     Left supinator
FJ1506M  FMA32545   muscle     Left supraspinatus
FJ1438M  FMA22426   muscle     Left tensor fasciae latae
FJ2748   FMA46732   muscle     Left tensor veli palatini
FJ1507M  FMA32552   muscle     Left teres major
FJ1508M  FMA32554   muscle     Left teres minor
FJ2784   FMA46590   muscle     Left thyro-arytenoid
FJ2785   FMA46590   muscle     Left thyro-arytenoid
FJ1577   FMA13353   muscle     Left thyrohyoid
FJ1439M  FMA22545   muscle     Left tibialis anterior
FJ1440M  FMA65019   muscle     Left tibialis posterior
FJ1461M  FMA9762    muscle     Left transversus thoracis
FJ1441M  FMA38935   muscle     Left vastus intermedius
FJ1442M  FMA38931   muscle     Left vastus lateralis
FJ1443M  FMA38933   muscle     Left vastus medialis
FJ2788   FMA46593   muscle     Left vocalis
FJ1448   FMA11336   muscle     Linea alba
FJ1478M  FMA37687   muscle     Long head of left biceps brachii
FJ1395M  FMA45889   muscle     Long head of left biceps femoris
FJ1479M  FMA37700   muscle     Long head of left triceps brachii
FJ1478   FMA37686   muscle     Long head of right biceps brachii
FJ1395   FMA45888   muscle     Long head of right biceps femoris
FJ1479   FMA37699   muscle     Long head of right triceps brachii
FJ1396M  FMA45972   muscle     Medial head of left flexor hallucis brevis
